Year,Ontario GHG ID,Facility Owner,Facility Name,Facility City,Facility Primary NAICS Code,Carbon dioxide (CO2) from non-biomass in CO2e (t),Carbon dioxide (CO2) from biomass in CO2e (t),Methane (CH4) in CO2e (t),Nitrous oxide (N2O) in CO2e (t),Sulphur hexafluoride (SF6) in CO2e (t),Hydrofluorocarbons (HFCs) in CO2e (t),Perfluorocarbons (PFCs) in CO2e (t),Nitrogen Trifluoride (NF3) in CO2e (t),Total CO2e from all sources in CO2e (t),Reporting Amount in CO2e (t),Verification Amount in CO2e (t),Accredited Verification Body
2010,1033,Domtar Inc.,Espanola Mill,Espanola,322121,85007,1118721,1748,15080,0,17396,0,,1237952,119231,,
2011,1033,Domtar Inc.,Espanola Mill,Espanola,322121,106760,925561,6114.8514,14787.062,0,22.542,0,,1053246,127685,127685,KPMG Performance Registrar Inc.
2012,1033,Domtar Inc.,Espanola Mill,Espanola,322121,116051,947682,6351.8784,15381.332,0,14.5312,0,,1085481,137799,137799,KPMG Performance Registrar Inc.
2013,1033,Anthony Forest Products Company,Espanola Mill,Espanola,322121,152849,829524,5653.5654,13839.702,0,3.978,0,,1001871,172347,172347,KPMG Performance Registrar Inc.
2014,1033,Anthony Forest Products Company,Espanola Mill,Espanola,322121,159615,867134,5870.8734,14429.942,0,7.215,0,,1047058,179924,179924,KPMG Performance Registrar Inc.
2015,1033,Anthony Forest Products Company,Espanola Mill,Espanola,322121,164545,884539,6023.1654,14828.292,0,7.891,0,0,1069944,185405,185405,KPMG Performance Registrar Inc.
2016,1033,Domtar Inc.,Espanola Mill,Espanola,322121,176640,839234,5726.4354,14189.072,0,6.3388,0,0,1035796,196562,196556,KPMG Performance Registrar Inc.
2017,1033,Domtar Inc.,Espanola Mill,Espanola,322121,178285,768692,5224.8714,13384.002,0,2.6637,0,0,965589,196897,196894,Internat Energy Solutions Canada
2018,1033,Domtar Inc.,Espanola Mill,Espanola,322121,219313.486,761596.5371,5212.7754,13312.888,0,18.2,0,0,999454,237858,237840,Internat Energy Solutions Canada
2015,1182,Campbell Co. of Canada,PLANT 051 - Toronto,Etobicoke,311410,25407,0,10.2789,137.1936,0,0,0,0,25555,25555,25555,GHD Limited (formerly CRA)
2016,1182,Campbell Co. of Canada,PLANT 051 - Toronto,Etobicoke,311410,31444.229,0,13.0039,171.1426,0,0,0,0,31629,31629,31629,GHD Limited (formerly CRA)
2016,1369,Continuous Colour Coat Limited,MSC Toronto,Etobicoke,332810,11470.83,0,4.746,62.31,0,0,0,0,11538,11538,11538,RWDI AIR Inc.
2017,1182,Campbell Co. of Canada,PLANT 051 - Toronto,Etobicoke,311410,32494,0,13.4442,176.886,0,0,0,0,32685,32685,32685,GHD
2017,1369,Continuous Colour Coat Limited,MSC Toronto,Etobicoke,332810,11986.77,0,4.956,65.1,0,0,0,0,12057,12057,12057,RWDI AIR Inc.
2018,1182,Campbell Co. of Canada,PLANT 051 - Toronto,Etobicoke,311410,32374,0,115.6989,228.8482,0,0,0,0,32719,32719,32719,GHD
2018,1369,Continuous Colour Coat Limited,MSC Toronto,Etobicoke,332810,12212.14,0,5.0528,66.4795,0,0,0,0,12284,12284,12284,
2016,1376,Suntastic Hothouse Inc.,Main Greenhouses,Exeter,111419,10952.48,16247.89,113.82,272.8,0,0,0,0,27587,11340,11340,Ruby Canyon Engineering Inc.
2017,1376,Suntastic Hothouse Inc.,Main Greenhouses,Exeter,111419,11129.55,11818.62,84,220.1,0,0,0,0,23253,11434,11434,
2018,1376,Suntastic Hothouse Inc.,Main Greenhouses,Exeter,111419,9930.087,13356.703,94.017,235.6,0,0,0,0,23617,10260,10260,
2010,1158,Xstrata Canada Corporation,Xstrata Nickel Sudbury Smelter,Falconbridge,212232,113786,0,12,163,0,0,0,,113962,113962,,
2011,1158,Glencore Canada Corporation,Sudbury Integrated Nickel Operations Smelter,Falconbridge,331410,121811.9668,0,15.4739,204.321,0,0,0,,122032,122032,122032,Stantec Consulting Ltd.
2012,1158,Xstrata Canada Corporation,Sudbury Nickel Smelter Complex,Falconbridge,331410,122131.4923,0,14.2244,188.108,0,0,0,0,122334,122334,122334,Stantec Consulting Ltd.
2013,1158,Glencore Canada Corporation,Sudbury Nickel Smelter Complex,Falconbridge,331410,123270.9369,0,14.754,195.3248,0,0,0,0,123482,123482,123482,Stantec Consulting Ltd.
2014,1158,Glencore Canada Corporation,Sudbury Integrated Nickel Operations Smelter,Falconbridge,331410,123150.0324,0,14.8472,195.9789,0,0,0,0,123361,123361,123361,Stantec Consulting Ltd.
2015,1158,Glencore Canada Corporation,Sudbury Integrated Nickel Operations Smelter,Falconbridge,331410,113901.2162,0,12.3791,163.8133,0,0,0,0,114078,114078,114078,Stantec Consulting Ltd.
2016,1158,Glencore Canada Corporation,Sudbury Integrated Nickel Operations Smelter,Falconbridge,331410,119152.2398,0,12.0519,162.192,0,0,0,0,119327,119327,119327,Stantec Consulting Ltd.
2017,1158,Glencore Canada Corporation,Sudbury Integrated Nickel Operations Smelter,Falconbridge,331410,126134.1382,0,11.1993,147.343,0,0,0,0,126293,126293,126293,GHD Limited
2018,1158,Glencore Canada Corporation,Sudbury Integrated Nickel Operations Smelter,Falconbridge,331410,130543.1772,0,11.7033,153.977,0,0,0,0,130709,130709,130709,GHD Limited
2010,1119,AbiBow Canada Inc.,Fort Frances Division,Fort Frances,322121,145622,944852,6405,15190,0,0,0,,1112069,167217,,
2011,1119,AbiBow Canada Inc.,Fort Frances Division,Fort Frances,322121,103143,900241,6087.06,13609,0,0,0,,1023081,122840,122840,Stantec Consulting Ltd.
2012,1119,Resolute FP Canada Inc.,Fort Frances Division,Fort Frances,322121,130817,411849,2785.44,6274.4,0,0,0,,551726,139877,139877,Stantec Consulting Ltd.
2013,1119,Resolute FP Canada Inc.,Fort Frances Division,Fort Frances,322121,122267,47519,370.02,1295.8,0,0,0,,171452,123933,123933,Enviro-Access Inc.
2014,1119,Produits forestiers Résolu,Fort Frances Division,Fort Frances,322121,29970,2947,32.34,204.6,0,171.6,0,,33326,30379,30379,Enviro-Access Inc.
2010,1071,"Howmet Georgetown Casting, a div. of Alcoa Inc.",Howmet Georgetown Casting,Georgetown,331529,760,0,0,0,0,0,0,,760,0,,
2015,1257,Compass Minerals Canada Corporation,GODERICH PLANT,Goderich,212393,13430.72,0,5.46,71.3,0,0,0,0,13508,13508,13508,GHD Limited (formerly CRA)
2016,1257,Compass Minerals Canada Corporation,GODERICH PLANT,Goderich,212393,14542.91,0,6.09,80.6,0,0,0,0,14630,14630,14630,GHD Limited (formerly CRA)
2017,1257,Compass Minerals Canada Corporation,GODERICH PLANT,Goderich,212393,16230.05,0,6.72,93,0,0,0,0,16330,16330,16330,GHD
2018,1257,Compass Minerals Canada Corporation,GODERICH PLANT,Goderich,212393,18924.73,0,7.77,108.5,0,0,0,0,19041,19041,19041,
2010,1106,Ontario Power Generation,Lennox Generating Station,Greater Napanee,221112,120058,0,470,884,0,0,0,,121412,121412,,
2011,1106,Ontario Power Generation Inc.,Lennox Generating Station,Greater Napanee,221112,102270,0,482.79,899,0,0,0,,103652,103652,103652,Ernst & Young LLP
2012,1106,Ontario Power Generation Inc.,Lennox Generating Station,Greater Napanee,221112,180484,0,879.9,1550,0,0,0,,182914,182914,182914,Ernst & Young LLP
2013,1106,Ontario Power Generation Inc.,Lennox Generating Station,Greater Napanee,221112,56322,0,253.05,523.9,0,0,0,,57099,57099,57099,Ernst & Young LLP
2014,1106,Ontario Power Generation Inc.,Lennox Generating Station,Greater Napanee,221112,159504,0,436.59,1109.8,0,0,0,,161051,161051,161051,Ernst & Young LLP
2015,1106,Ontario Power Generation Inc.,Lennox Generating Station,Greater Napanee,221112,55116.986,0,164.304,381.61,0,0,0,0,55663,55663,55663,Ernst & Young LLP
2016,1106,Ontario Power Generation Inc.,Lennox Generating Station,Greater Napanee,221112,117280,0,288.33,802.9,0,0,0,0,118372,118372,118372,Ernst & Young LLP
2017,1106,Ontario Power Generation Inc.,Lennox Generating Station,Greater Napanee,221112,129101,0,206.43,840.1,0,0,0,0,130148,130148,130148,GHD Limited
2018,1106,Ontario Power Generation Inc.,Lennox Generating Station,Greater Napanee,221112,105575.8,0,135.03,666.5,0,0,0,0,106378,106378,106378,GHD Limited
2010,1151,University of Guelph,Guelph Campus,Guelph,611310,43630,0,18,251,0,0,0,,43900,43900,,
2011,1151,University of Guelph,Guelph Campus,Guelph,611310,39965.0126,0,16.5354,230.702,0,0,0,,40213,40213,40213,Conestoga-Rovers & Associates Limited (CRA)
2012,1151,University of Guelph,Guelph Campus,Guelph,611310,36054.3494,0,14.6336,205.1487,0,0,0,,36275,36275,36275,Conestoga-Rovers & Associates Limited (CRA)
2013,1151,University of Guelph,Guelph Campus,Guelph,611310,39211.57,0,16.1914,226.0179,0,0,0,,39454,39454,39454,Conestoga-Rovers & Associates Limited (CRA)
2013,1164,Magna Exteriors and Interiors Corp.,POLYCON INDUSTRIES,Guelph,326193,24859,0,10.29,135.47,0,0,0,,25005,25005,25005,Conestoga-Rovers & Associates Limited (CRA)
2014,1151,University of Guelph,Guelph Campus,Guelph,611310,42082.3299,0,17.4111,242.916,0,0,0,,42343,42343,42343,Conestoga-Rovers & Associates Limited (CRA)
2014,1164,Magna Exteriors and Interiors Corp.,POLYCON INDUSTRIES,Guelph,326193,23985.4899,0,9.9246,130.572,0,0,0,,24126,24126,24126,Conestoga-Rovers & Associates Limited (CRA)
2015,1151,University of Guelph,Guelph Campus,Guelph,611310,39661.48,0,16.4094,228.935,0,0,0,0,39907,39907,39907,GHD Limited (formerly CRA)
2015,1164,Magna Exteriors and Interiors Corp.,POLYCON INDUSTRIES,Guelph,326193,24447.85,0,10.1955,134.23,0,0,0,0,24593,24593,24593,GHD Limited (formerly CRA)
2015,1262,Skyjack Inc.,Plant 1,Guelph,333920,10022,0,4.998,54.994,0,0,0,0,10082,10082,10082,GHD Limited (formerly CRA)
2015,1263,Owens Corning Composite Materials Canada LP,Guelph Glass Plant,Guelph,327214,17809.6023,0,7.3689,96.937,0,0,0,0,17914,17914,17914,GHD Limited (formerly CRA)
2016,1151,University of Guelph,Guelph Campus,Guelph,611310,37146.7921,0,15.3006,213.714,0,0,0,0,37376,37376,37376,GHD Limited (formerly CRA)
2016,1164,Magna Exteriors and Interiors Corp.,POLYCON INDUSTRIES,Guelph,326193,40565.59,0,139.8289,285.0388,0,0,0,0,40991,40991,40991,GHD Limited (formerly CRA)
2016,1262,Skyjack Inc.,Skyjack Inc.,Guelph,333920,11139,0,4.6091,60.6438,0,0,0,0,11205,11205,11205,GHD Limited (formerly CRA)
2016,1263,Owens Corning Composite Materials Canada LP,Guelph Glass Plant,Guelph,327214,13022.3275,0,5.3403,70.277,0,0,0,0,13098,13098,13098,GHD Limited (formerly CRA)
2016,1340,Linamar Gear,Linamar Gear,Guelph,332710,10114.91,0,4.011,52.7,0,0,0,0,10172,10172,10172,GHD Limited (formerly CRA)
2016,1371,Gay Lea Foods Cooperative Ltd.,Guelph,Guelph,311515,10720.408,0,4.431,58.28,0,0,0,0,10784,10784,10784,Ruby Canyon Engineering Inc.
2017,1151,University of Guelph,Guelph Campus,Guelph,611310,38650.7896,0,15.9705,222.89,0,0,0,0,38890,38890,38890,Internat Energy Solutions Canada
2017,1164,Magna Exteriors Inc.,POLYCON INDUSTRIES,Guelph,326193,39116.72,0,140.2443,277.45,0,0,0,0,39535,39535,39535,GHD Limited
2017,1262,Skyjack Inc.,Skyjack Inc.,Guelph,333920,12430,0,4.998,67.983,0,0,0,0,12503,12503,12503,GHD
2017,1263,Owens Corning Composite Materials Canada LP,Guelph Glass Plant,Guelph,327214,12336.011,0,5.0778,66.774,0,0,0,0,12408,12408,12408,GHD Limited
2017,1340,Linamar Gear,Linamar Gear,Guelph,332710,8314.94,0,3.3495,44.113,0,0,0,0,8363,8363,8363,GHD
2017,1371,Gay Lea Foods Cooperative Ltd.,Guelph,Guelph,311515,10803.327,0,4.473,58.9,0,0,0,0,10867,10867,10867,
2017,1396,Cargill Limited,Guelph Beef,Guelph,311611,10729.859,0,4.431,58.28,0,0,0,0,10793,10793,10793,
2018,1151,University of Guelph,Guelph Campus,Guelph,611310,40346.3516,0,16.6474,232.4138,0,0,0,0,40596,40596,40596,Internat Energy Solutions Canada
2018,1164,Magna Exteriors Inc.,POLYCON INDUSTRIES,Guelph,326193,37027.3,0,114.66,264.12,0,0,0,0,37407,37407,37407,GHD Limited
2018,1262,Skyjack Inc.,Skyjack Inc.,Guelph,333920,14222,0,5.8842,77.407,0,0,0,0,14306,14306,14306,
2018,1263,Owens Corning Composite Materials Canada LP,Guelph Glass Plant,Guelph,327214,12312.4424,0,5.0757,66.805,0,0,0,0,12385,12385,12385,
2018,1340,Linamar Gear,Linamar Gear,Guelph,332710,10626.94,0,4.2861,56.389,0,0,0,0,10688,10688,10688,
2018,1371,Gay Lea Foods Cooperative Ltd.,Guelph,Guelph,311515,10578.086,0,4.368,57.66,0,0,0,0,10641,10641,10641,
2018,1396,Cargill Limited,Guelph Beef,Guelph,311611,11137.722,0,4.599,60.76,0,0,0,0,11204,11204,11204,
2010,1018,Canadian Gypsum Canada INC.,Hagersvile Plant (066),Hagersville,327420,51259,0,21,279,0,0,0,,51560,51560,,
2011,1018,Canadian Gypsum Company,CGC Hagersville Plant,Hagersville,327420,51341.63071,0,21.2447,279.5239,0,0,0,,51643,51643,51643,Stantec Consulting Ltd.
2012,1018,Canadian Gypsum Company,CGC Hagersville Plant,Hagersville,327420,51428.46,0,21.2783,279.961,0,0,0,,51730,51730,51730,Stantec Consulting Ltd.
2013,1018,Canadian Gypsum Company,CGC Hagersville Plant,Hagersville,327420,47556.54,0,19.677,258.881,0,0,0,,47836,47836,47836,Stantec Consulting Ltd.
2014,1018,Canadian Gypsum Company,CGC Hagersville Plant,Hagersville,327420,51020.2043,0,21.1092,277.729,0,0,0,,51320,51320,51320,Stantec Consulting Ltd.
2015,1018,CGC Inc.,CGC Hagersville Plant,Hagersville,327420,56489.062,0,23.7262,330.5034,0,0,0,0,56844,56844,56844,Stantec Consulting Ltd.
2016,1018,CGC Inc.,CGC Hagersville Plant,Hagersville,327420,61680.42,0,25.7922,353.369,0,0,0,0,62060,62060,62060,Stantec Consulting Ltd.
2017,1018,CGC Inc.,CGC Hagersville Plant,Hagersville,327420,73916.0495,0,30.9057,423.305,0,0,0,0,74371,74371,74371,Internat Energy Solutions Canada Inc.
2018,1018,CGC Inc.,CGC Hagersville Plant,Hagersville,327420,75616.4107,0,31.5903,431.334,0,0,0,0,76080,76080,76080,Internat Energy Solutions Canada Inc.
2010,1149,U.S. Steel Canada Inc.,Lake Erie Steel (formerly Stelco Lake Erie),Haldimand County,331110,1714842,0,25998.504,1062.68,0,0,0,,1741904,1741904,,
2011,1149,U.S. Steel Canada Inc.,Lake Erie Works,Haldimand County,331110,3282429.32,0,18955.335,1208.69,0,0,0,,3302594,3302594,3302594,Conestoga-Rovers & Associates Limited (CRA)
2012,1149,U.S. Steel Canada Inc.,Lake Erie Works,Haldimand County,331110,3816332.89,0,21644.385,1687.64,0,0,0,,3839665,3839665,3839665,Conestoga-Rovers & Associates Limited (CRA)
2013,1149,U.S. Steel Canada Inc.,Lake Erie Works,Haldimand County,331110,1857411.06,0,3232.173,1502.57,0,0,0,,1862146,1862146,1862146,Conestoga-Rovers & Associates Limited (CRA)
2014,1149,U.S. Steel Canada Inc.,Lake Erie Works,Haldimand County,331110,3297942.499,0,4727.352,1954.24,0,0,0,,3304625,3304625,3304625,Conestoga-Rovers & Associates Limited (CRA)
2015,1149,U.S. Steel Canada Inc.,Lake Erie Works,Haldimand County,331110,2687596,0,13032.684,1426.31,0,0,0,0,2702055,2702055,2702055,GHD Limited (formerly CRA)
2016,1149,U.S. Steel Canada Inc.,Lake Erie Works,Haldimand County,331110,3131685.397,0,14054.9094,1516.768,0,0,0,0,3147258,3147258,3133318,GHD Limited (formerly CRA)
2017,1149,Stelco Inc.,Lake Erie,Haldimand County,331110,3252560,0,30119.5062,1680.448,0,0,0,0,3284360,3284360,3254369,RWDI AIR Inc.
2018,1149,Stelco Inc.,Lake Erie,Haldimand County,331110,3767034.5,0,13994.4882,1863.379,0,0,0,0,3782893,3782893,3769040,RWDI AIR Inc.
2016,1169,"Magellan Aerospace Limited, Haley","Magellan Aerospace, Haley",Haley,331529,5785.724,0,2.4022,31.8587,34908.34,26.1,0,0,40755,40755,5820,RWDI AIR Inc.
2017,1169,"Magellan Aerospace Limited, Haley","Magellan Aerospace, Haley",Haley,331529,5822.029,0,2.4005,32.0509,27623.62,73.71,0,0,33554,33554,33554,RWDI AIR Inc.
2018,1169,"Magellan Aerospace Limited, Haley","Magellan Aerospace, Haley",Haley,331529,6533.087,0,2.6943,35.7647,32821.87,117.91,0,0,39512,39512,39512,
2010,1146,TransCanada Energy Ltd.,Halton Hills Generating Station,Halton Hills,221112,397033,0,2175,3211,0,0,0,,402419,402419,,
2011,1146,TransCanada Energy Ltd.,Halton Hills Generating Station,Halton Hills,221112,749377,0,4105.143,6059.973,0,0,0,,759543,759543,759543,"ICF Consulting Canada, Inc."
2012,1146,TransCanada Energy Ltd.,Halton Hills Generating Station,Halton Hills,221112,864528,0,4735.9494,6991.151,0,0,0,,876256,876256,876256,"ICF Consulting Canada, Inc."
2013,1146,TransCanada Energy Ltd.,Halton Hills Generating Station,Halton Hills,221112,607118,0,3325.8393,4909.563,0,0,0,,615354,615354,615354,"ICF Consulting Canada, Inc."
2014,1146,TransCanada Energy Ltd.,Halton Hills Generating Station,Halton Hills,221112,306579,0,1679.4624,2479.194,0,0,0,,310738,310738,310738,Ernst & Young LLP
2015,1146,TransCanada Energy Ltd.,Halton Hills Generating Station,Halton Hills,221112,576814.8297,0,3159.8343,4664.508,0,0,0,0,584640,584640,584640,Ernst & Young LLP
2016,1146,TransCanada Energy Ltd.,Halton Hills Generating Station,Halton Hills,221112,459917.877,0,2519.4645,3719.194,0,0,0,0,466157,466157,466157,Ernst & Young LLP
2017,1146,TransCanada Energy Ltd.,Halton Hills Generating Station,Halton Hills,221112,421847.1456,0,2310.9093,3411.333,0,0,0,0,427570,427570,427570,Ernst & Young LLP
2018,1146,TransCanada Energy Ltd.,Halton Hills Generating Station,Halton Hills,221112,477986.0674,0,2618.4438,3865.328,0,0,0,0,484470,484470,484470,Ernst & Young LLP
2010,1005,ArcelorMittal Dofasco Inc.,Dofasco Hamilton,Hamilton,331110,4923106,0,24680,8518,0,0,0,,4956304,4956304,,
2010,1016,Bunge Canada,Bunge Canada - Hamilton Plant,Hamilton,311224,56151,0,0,0,0,0,0,,56151,56151,,
2010,1030,Columbian Chemicals Canada LLC,Hamilton,Hamilton,325189,198280,0,0,0,0,0,0,,198280,198280,,
2010,1063,Hamilton Health Sciences Corporation,McMaster University Medical Centre Co-generation Plant,Hamilton,622112,35611,0,15,205,0,0,0,,35831,35831,,
2010,1064,Hamilton Specialty Bar (2007) Inc.,Hamilton Specialty Bar,Hamilton,331110,9468,0,0,0,0,0,0,,9468,9468,,
2010,1148,U.S. Steel Canada Inc.,Hamilton Steel (formerly Stelco Hamilton),Hamilton,331110,2592777.36,0,18243.0234,816.602,0,0,0,,2611837,2611837,,
2011,1005,ArcelorMittal Dofasco Inc.,Dofasco Hamilton,Hamilton,331110,5212989.417,0,22209.1086,8620.666,0,0,0,,5243820,5243820,5243820,Ernst & Young LLP
2011,1016,Bunge Canada Holdings I ULC,Bunge Canada - Hamilton Plant,Hamilton,311224,51647,0,21.42,282.1,0,0,0,,51951,51951,51951,Conestoga-Rovers & Associates Limited (CRA)
2011,1030,Columbian Chemicals Canada ULC,Hamilton,Hamilton,325189,237845.1144,0,14.7504,194.06,0,0,0,,238054,238054,238054,Conestoga-Rovers & Associates Limited (CRA)
2011,1064,Hamilton Specialty Bar Corporation,Hamilton Specialty Bar,Hamilton,331110,41458,0,9.8826,130.045,0,0,0,,41598,41598,41598,NSF International
2011,1148,U.S. Steel Canada Inc.,Hamilton Works,Hamilton,331110,403275.87,0,13990.5255,811.115,0,0,0,,418078,418078,418078,Conestoga-Rovers & Associates Limited (CRA)
2012,1005,ArcelorMittal Dofasco Inc.,Dofasco Hamilton,Hamilton,331110,5078255.886,0,19022.8815,8343.867,0,0,0,,5105623,5105623,5105623,Ernst & Young LLP
2012,1016,Bunge Canada Holdings I ULC,Bunge Canada - Hamilton Plant,Hamilton,311224,49888.67,0,20.58,272.8,0,0,0,,50183,50183,50183,Conestoga-Rovers & Associates Limited (CRA)
2012,1030,Columbian Chemicals Canada Ltd.,Hamilton,Hamilton,325189,231103.9916,0,14.8915,195.9324,0,0,0,,231315,231315,231315,Conestoga-Rovers & Associates Limited (CRA)
2012,1064,Hamilton Specialty Bar Corporation,Hamilton Specialty Bar,Hamilton,331110,39193,0,8.82,116.064,0,0,0,,39318,39318,39318,NSF International
2012,1148,U.S. Steel Canada Inc.,Hamilton Works,Hamilton,331110,424435.83,0,15189.7683,955.327,0,0,0,,440581,440581,440581,Conestoga-Rovers & Associates Limited (CRA)
2013,1005,ArcelorMittal Dofasco Inc.,Dofasco Hamilton,Hamilton,331110,5101183.92,0,18739.9737,2699.604,0,0,0,,5122624,5122624,5122624,Conestoga-Rovers & Associates Limited (CRA)
2013,1016,Bunge Canada Holdings I ULC,Bunge Canada - Hamilton Plant,Hamilton,311224,48805.026,0,20.1936,268.77,0,0,0,,49094,49094,49094,Conestoga-Rovers & Associates Limited (CRA)
2013,1030,Columbian Chemicals Canada Ltd.,Hamilton,Hamilton,325189,214776.7314,0,2.688,35.371,0,0,0,,214815,214815,214815,Conestoga-Rovers & Associates Limited (CRA)
2013,1064,Hamilton Specialty Bar Corporation,Hamilton Specialty Bar,Hamilton,331110,34368,0,8.568,112.84,0,0,0,,34490,34490,34490,NSF International
2013,1148,U.S. Steel Canada Inc.,Hamilton Works,Hamilton,331110,476145.61,0,14110.5384,932.294,0,0,0,,491189,491189,491189,Conestoga-Rovers & Associates Limited (CRA)
2013,1162,City of Hamilton,Glanbrook Landfill Site,Hamilton,562210,0,19211,7.35,10.85,0,0,0,,19230,19,19,
2013,1166,Ruetgers Canada Inc.,Ruetgers Canada Inc,Hamilton,325190,27115.74,0,11.109,146.01,0,0,0,0,27273,27273,27273,Conestoga-Rovers & Associates Limited (CRA)
2013,1170,McMaster University,MCMASTER UNIVERSITY,Hamilton,611310,22118.5,0,9.198,130.82,0,0,0,0,22259,22259,22259,Conestoga-Rovers & Associates Limited (CRA)
2014,1005,ArcelorMittal Dofasco Inc.,Dofasco Hamilton,Hamilton,331110,5095434.499,0,19749.807,3141.385,0,0,0,,5118326,5118326,5118326,PricewaterhouseCoopers LLP
2014,1016,Bunge Canada Holdings I ULC,Bunge Canada - Hamilton Plant,Hamilton,311224,47543.271,0,19.6709,258.8165,0,0,0,,47822,47822,47822,Conestoga-Rovers & Associates Limited (CRA)
2014,1030,Columbian Chemicals Canada Ltd.,Hamilton,Hamilton,325189,261106.8913,0,1.7178,22.599,0,0,0,,261132,261132,261132,Conestoga-Rovers & Associates Limited (CRA)
2014,1064,Hamilton Specialty Bar Corporation,Hamilton Specialty Bar,Hamilton,331110,33676,0,9.093,119.66,0,0,0,,33805,33805,33805,NSF International
2014,1148,U.S. Steel Canada Inc.,Hamilton Works,Hamilton,331110,364243.33,0,9443.2968,674.777,0,0,0,,374362,374362,374362,Conestoga-Rovers & Associates Limited (CRA)
2014,1162,City of Hamilton,Glanbrook Landfill Site,Hamilton,562210,0,19429,7.56,11.16,0,0,0,,19448,19,19,
2014,1166,Ruetgers Canada Inc.,Ruetgers Canada Inc,Hamilton,325190,27372.28,0,11.214,147.56,0,0,0,0,27532,27532,27532,Conestoga-Rovers & Associates Limited (CRA)
2014,1170,McMaster University,MCMASTER UNIVERSITY,Hamilton,611310,24229.7,0,10.059,141.98,0,0,0,0,24382,24382,24382,Conestoga-Rovers & Associates Limited (CRA)
2015,1005,ArcelorMittal Dofasco G.P.,Dofasco Hamilton,Hamilton,331110,4733116.8,0,13603.8189,3593.861,0,0,0,0,4750315,4750315,4750315,PricewaterhouseCoopers LLP
2015,1016,Bunge Canada Holdings I ULC,Bunge Canada - Hamilton Plant,Hamilton,311224,44753.115,0,18.5165,243.6259,0,0,0,0,45016,45016,45016,GHD Limited (formerly CRA)
2015,1030,Columbian Chemicals Canada Ltd.,Hamilton,Hamilton,325189,249841.5695,0,1.2705,16.74,0,0,0,0,249860,249860,249860,GHD Limited (formerly CRA)
2015,1064,Hamilton Specialty Bar Corporation,Hamilton Specialty Bar,Hamilton,331110,29532,0,8.253,108.5,0,0,0,0,29649,29649,29649,NSF International
2015,1148,U.S. Steel Canada Inc.,Hamilton Works,Hamilton,331110,225676.94,0,12068.4207,679.613,0,0,0,0,238425,238425,238425,GHD Limited (formerly CRA)
2015,1162,City of Hamilton,Glanbrook Landfill Site,Hamilton,562210,0,18605,7.14,10.54,0,0,0,0,18623,18,18,
2015,1166,Ruetgers Canada Inc.,Ruetgers Canada Inc,Hamilton,325190,27197,0,11.151,146.63,0,0,0,0,27355,27355,27355,GHD Limited (formerly CRA)
2015,1170,McMaster University,MCMASTER UNIVERSITY,Hamilton,611310,22612,0,9.2694,131.471,0,0,0,0,22753,22753,22753,Stantec Consulting Ltd.
2015,1186,ArcelorMittal Hamilton East,ArcelorMittal Hamilton East,Hamilton,331222,25500,0,10.542,138.88,0,0,0,0,25650,25650,25650,GHD Limited (formerly CRA)
2015,1187,Hamilton Health Sciences Corporation,Juravinski Hospital and Cancer Center Cogeneration Plant,Hamilton,622111,23459,0,9.66,136.4,0,0,0,0,23606,23606,23606,GHD Limited (formerly CRA)
2015,1188,Hamilton Health Sciences Corporation,Hamilton General Hospital Cogeneration Plant,Hamilton,622111,18752,0,7.77,108.5,0,0,0,0,18869,18869,18869,GHD Limited (formerly CRA)
2015,1240,BIOX Canada Limited,BIOX Canada Limited - Hamilton,Hamilton,325190,12233,0,5.061,66.65,0,0,0,0,12305,12305,12305,GHD Limited (formerly CRA)
2015,1254,St. Joseph's Healthcare Hamilton,St. Joseph's Healthcare Hamilton,Hamilton,622111,10425.9171,0,4.3137,60.1846,0,0,0,0,10491,10491,10491,GHD Limited (formerly CRA)
2015,1259,Baycoat Ltd.,Baycoat Ltd.,Hamilton,332810,23954.5,0,9.912,130.2,0,0,0,0,24095,24095,24095,GHD Limited (formerly CRA)
2015,1271,Air Liquide Canada Inc.,Hamilton Oxyton,Hamilton,325120,11114,0,1.932,25.42,0,150.8,0,0,11293,11293,11293,Enviro-Access Inc.
2016,1005,ArcelorMittal Dofasco G.P.,ArcelorMittal Dofasco,Hamilton,331110,4855361.484,0,13191.066,3487.252,2490.9536,0,0,0,4874531,4874531,4859114,PricewaterhouseCoopers LLP
2016,1016,Bunge Canada,Bunge Canada Holdings I ULC,Hamilton,311224,48855.337,0,20.1586,265.6731,0,0,0,0,49142,49142,49142,GHD Limited (formerly CRA)
2016,1030,Columbian Chemicals Canada Ltd.,Hamilton (Birla Carbon),Hamilton,325189,198123.2118,0,2.2071,29.047,0,0,0,0,198155,198155,198155,GHD Limited (formerly CRA)
2016,1064,Hamilton Specialty Bar (2007) Inc.,Hamilton Specialty Bar (2007) Inc.,Hamilton,331110,31113,0,7.938,104.47,0,0,0,0,31226,31226,31226,NSF-ISR
2016,1148,U.S. Steel Canada Inc.,Hamilton Works,Hamilton,331110,216188.33,7199.92,7140.4053,1259.127,0,0,0,0,231788,224588,217750,GHD Limited (formerly CRA)
2016,1162,City of Hamilton,Glanbrook Landfill Site,Hamilton,562210,0,18735,7.14,10.54,0,0,0,0,18753,18,18,
